City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rincon,32.296,-81.2354,18.98,65,75,4.63,US,1675813878
1,albany,42.6001,-73.9662,2.36,70,100,0.45,US,1675813611
2,upernavik,72.7868,-56.1549,-29.67,98,73,1.32,GL,1675813878
3,lasa,46.6166,10.7002,-4.43,76,8,0.35,IT,1675813879
4,barrow,71.2906,-156.7887,-17.99,78,100,4.12,US,1675813676
5,carutapera,-1.195,-46.02,24.45,91,99,2.53,BR,1675813871
6,coffs harbour,-30.3,153.1333,25.63,65,100,2.57,AU,1675813884
7,sayyan,15.1718,44.3244,11.54,57,4,1.0,YE,1675813886
8,vao,-22.6667,167.4833,26.59,70,33,5.53,NC,1675813887
9,tasiilaq,65.6145,-37.6368,-16.91,35,2,17.27,GL,1675813845
10,ushuaia,-54.8,-68.3,12.81,44,0,1.54,AR,1675813888
11,bredasdorp,-34.5322,20.0403,19.29,75,91,3.98,ZA,1675813746
12,ayan,56.45,138.1667,-30.59,79,24,3.7,RU,1675813889
13,gornopravdinsk,60.05,69.9,-29.04,100,100,1.09,RU,1675813890
14,viedma,-40.8135,-62.9967,20.44,74,18,4.63,AR,1675813739
15,rikitea,-23.1203,-134.9692,26.44,70,84,5.01,PF,1675813662
16,rocha,-34.4833,-54.3333,21.74,76,25,3.88,UY,1675813836
17,nikolskoye,59.7035,30.7861,-1.06,87,99,4.51,RU,1675813892
18,kodinar,20.7903,70.7031,20.43,57,2,2.94,IN,1675813893
19,busselton,-33.65,115.3333,20.08,68,26,4.5,AU,1675813607
20,saint joseph,39.7686,-94.8466,7.78,41,0,2.57,US,1675813860
21,kaeo,-35.1,173.7833,26.29,65,55,2.6,NZ,1675813894
22,provideniya,64.3833,-173.3,-17.94,71,100,4.0,RU,1675813897
23,nishihara,26.1842,127.7558,19.6,86,75,5.66,JP,1675813899
24,puerto ayora,-0.7393,-90.3518,26.97,87,31,4.02,EC,1675813728
25,beloha,-25.1667,45.05,22.95,85,100,2.56,MG,1675813864
26,lithgow,-33.4833,150.15,19.44,66,79,4.0,AU,1675813905
27,lebu,-37.6167,-73.65,15.42,88,0,7.7,CL,1675813669
28,thompson,55.7435,-97.8558,-16.91,85,100,2.06,CA,1675813855
29,hobart,-42.8794,147.3294,16.81,63,75,7.2,AU,1675813906
30,mangai,-4.05,19.5333,22.25,81,93,0.78,CD,1675813908
31,sinnamary,5.3833,-52.95,24.45,89,30,5.4,GF,1675813654
32,mascota,20.5167,-104.7833,16.28,46,49,2.77,MX,1675813908
33,guerrero negro,27.9769,-114.0611,22.0,20,1,1.17,MX,1675813908
34,ucluelet,48.9329,-125.5528,7.17,80,58,9.1,CA,1675813909
35,lubyany,56.0378,51.4,-24.41,100,99,1.19,RU,1675813909
36,port alfred,-33.5906,26.891,21.21,91,100,1.79,ZA,1675813910
37,mataura,-46.1927,168.8643,11.38,71,68,4.82,NZ,1675813615
38,lima,-12.0432,-77.0282,27.72,69,40,7.72,PE,1675813571
39,khatanga,71.9667,102.5,-44.0,100,77,1.03,RU,1675813910
40,port lincoln,-34.7333,135.8667,21.82,65,3,5.13,AU,1675813911
